route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000030,OCESN12263F2899686:2024-08-28T00:25:25Z,12263,1,45,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000031,OCESN12263F3133878:2024-08-28T00:25:25Z,12263,1,46,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000032,OCESN12263F3133879:2024-08-28T00:25:25Z,12263,1,47,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000033,OCESN12263F3133880:2024-08-28T00:25:25Z,12263,1,48,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12264F3098473:2024-08-28T00:25:25Z,12264,0,49,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000034,OCESN12264F3337262:2024-08-28T00:25:25Z,12264,0,50,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000028,OCESN12264F3337263:2024-08-28T00:25:25Z,12264,0,51,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000035,OCESN12265F2898437:2024-08-28T00:25:25Z,12265,1,52,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12265F3134003:2024-08-28T00:25:25Z,12265,1,53,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12265F3134005:2024-08-28T00:25:25Z,12265,1,54,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12265F3301814:2024-08-28T00:25:25Z,12265,1,55,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12266F3090972:2024-08-28T00:25:25Z,12266,0,56,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000007,OCESN12266F3250313:2024-08-29T00:25:22Z,12266,0,57,
