trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14142F3106601:2024-06-26T00:35:36Z,10:41:00,10:42:00,StopPoint:OCEINTERCITES-87673400,2,,0,0,
OCESN14142F3106601:2024-06-26T00:35:36Z,10:53:00,11:03:00,StopPoint:OCEINTERCITES-87673004,3,,0,0,
OCESN14142F3106601:2024-06-26T00:35:36Z,11:44:00,11:46:00,StopPoint:OCEINTERCITES-87672253,4,,0,0,
OCESN14142F3106601:2024-06-26T00:35:36Z,12:08:00,12:11:00,StopPoint:OCEINTERCITES-87672006,5,,0,0,
OCESN14142F3106601:2024-06-26T00:35:36Z,12:36:00,12:39:00,StopPoint:OCEINTERCITES-87671339,6,,0,0,
OCESN14142F3106601:2024-06-26T00:35:36Z,12:53:00,12:56:00,StopPoint:OCEINTERCITES-87671008,7,,0,0,
OCESN14142F3106601:2024-06-26T00:35:36Z,13:29:00,13:31:00,StopPoint:OCEINTERCITES-87611152,8,,0,0,
OCESN14142F3106601:2024-06-26T00:35:36Z,14:26:00,14:26:00,StopPoint:OCEINTERCITES-87611004,9,,1,0,
OCESN14142F3276201:2024-06-26T00:35:36Z,11:03:00,11:03:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14142F3276201:2024-06-26T00:35:36Z,11:44:00,11:46:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14142F3276201:2024-06-26T00:35:36Z,12:08:00,12:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14142F3276201:2024-06-26T00:35:36Z,12:36:00,12:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14142F3276201:2024-06-26T00:35:36Z,12:53:00,12:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14142F3276201:2024-06-26T00:35:36Z,13:29:00,13:31:00,StopPoint:OCEINTERCITES-87611152,5,,0,0,
OCESN14142F3276201:2024-06-26T00:35:36Z,14:26:00,14:26:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14143F2910528:2024-06-26T00:35:36Z,11:33:00,11:33:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14143F2910528:2024-06-26T00:35:36Z,12:21:00,12:23:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14143F2910528:2024-06-26T00:35:36Z,13:05:00,13:08:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14143F2910528:2024-06-26T00:35:36Z,13:22:00,13:25:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14143F2910528:2024-06-26T00:35:36Z,13:51:00,13:54:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14143F2910528:2024-06-26T00:35:36Z,14:14:00,14:16:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14143F2910528:2024-06-26T00:35:36Z,14:59:00,14:59:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14143F3152373:2024-06-26T00:35:36Z,11:33:00,11:33:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14143F3152373:2024-06-26T00:35:36Z,12:21:00,12:23:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14143F3152373:2024-06-26T00:35:36Z,13:05:00,13:08:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14143F3152373:2024-06-26T00:35:36Z,13:22:00,13:22:00,StopPoint:OCEINTERCITES-87671339,3,,1,0,
OCESN14148F3153647:2024-06-26T00:35:36Z,16:39:00,16:39:00,StopPoint:OCEINTERCITES-87671339,0,,0,1,
OCESN14148F3153647:2024-06-26T00:35:36Z,16:54:00,16:57:00,StopPoint:OCEINTERCITES-87671008,1,,0,0,
OCESN14148F3153647:2024-06-26T00:35:36Z,17:20:00,17:22:00,StopPoint:OCEINTERCITES-87671123,2,,0,0,
OCESN14148F3153647:2024-06-26T00:35:36Z,18:26:00,18:26:00,StopPoint:OCEINTERCITES-87611004,3,,1,0,
OCESN14148F3306386:2024-06-26T00:35:36Z,15:03:00,15:03:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14148F3306386:2024-06-26T00:35:36Z,15:44:00,15:46:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14148F3306386:2024-06-26T00:35:36Z,16:08:00,16:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14148F3306386:2024-06-26T00:35:36Z,16:36:00,16:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14148F3306386:2024-06-26T00:35:36Z,16:53:00,16:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14148F3306386:2024-06-26T00:35:36Z,17:19:00,17:21:00,StopPoint:OCEINTERCITES-87671123,5,,0,0,
OCESN14148F3306386:2024-06-26T00:35:36Z,18:26:00,18:26:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14150F3153410:2024-06-26T00:35:36Z,18:30:00,18:30:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14150F3153410:2024-06-26T00:35:36Z,19:10:00,19:12:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14150F3153410:2024-06-26T00:35:36Z,19:33:00,19:36:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14150F3153410:2024-06-26T00:35:36Z,20:00:00,20:03:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14150F3153410:2024-06-26T00:35:36Z,20:17:00,20:20:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14150F3153410:2024-06-26T00:35:36Z,21:00:00,21:02:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14150F3153410:2024-06-26T00:35:36Z,21:49:00,21:49:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14150F3307014:2024-06-26T00:35:36Z,17:03:00,17:03:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14150F3307014:2024-06-26T00:35:36Z,17:44:00,17:46:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14150F3307014:2024-06-26T00:35:36Z,18:08:00,18:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14150F3307014:2024-06-26T00:35:36Z,18:35:00,18:38:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14150F3307014:2024-06-26T00:35:36Z,18:53:00,18:56:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14150F3307014:2024-06-26T00:35:36Z,19:36:00,19:38:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14150F3307014:2024-06-26T00:35:36Z,20:26:00,20:26:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14151F3032168:2024-06-26T00:35:36Z,13:33:00,13:33:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14151F3032168:2024-06-26T00:35:36Z,14:21:00,14:23:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14151F3032168:2024-06-26T00:35:36Z,15:05:00,15:08:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14151F3032168:2024-06-26T00:35:36Z,15:22:00,15:25:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14151F3032168:2024-06-26T00:35:36Z,15:51:00,15:54:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14151F3032168:2024-06-26T00:35:36Z,16:14:00,16:16:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14151F3032168:2024-06-26T00:35:36Z,16:59:00,16:59:00,StopPoint:OCEINTERCITES-87673004,6,,1,0,
OCESN14151F3074446:2024-06-26T00:35:36Z,13:33:00,13:33:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14151F3074446:2024-06-26T00:35:36Z,14:21:00,14:23:00,StopPoint:OCEINTERCITES-87611137,1,,0,0,
OCESN14151F3074446:2024-06-26T00:35:36Z,15:05:00,15:08:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14151F3074446:2024-06-26T00:35:36Z,15:22:00,15:22:00,StopPoint:OCEINTERCITES-87671339,3,,1,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,16:33:00,16:33:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14155F2993313:2024-06-26T00:35:36Z,17:41:00,17:43:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,18:05:00,18:08:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,18:22:00,18:25:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,18:53:00,18:56:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,19:16:00,19:18:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,20:00:00,20:13:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,20:26:00,20:27:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,20:44:00,20:45:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14155F2993313:2024-06-26T00:35:36Z,20:57:00,20:57:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,16:33:00,16:33:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14155F3090406:2024-06-26T00:35:36Z,17:41:00,17:43:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,18:05:00,18:08:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,18:22:00,18:25:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,18:53:00,18:56:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,19:16:00,19:18:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,20:00:00,20:19:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,20:32:00,20:33:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,20:50:00,20:51:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14155F3090406:2024-06-26T00:35:36Z,21:03:00,21:03:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,18:06:00,18:06:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14157F2916863:2024-06-26T00:35:36Z,19:15:00,19:17:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,19:41:00,19:44:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,19:58:00,20:01:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,20:26:00,20:29:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,20:50:00,20:52:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,21:34:00,21:50:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,22:03:00,22:04:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,22:19:00,22:20:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14157F2916863:2024-06-26T00:35:36Z,22:33:00,22:33:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,17:31:00,17:31:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14157F2917151:2024-06-26T00:35:36Z,18:49:00,18:51:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,19:16:00,19:19:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,19:35:00,19:38:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,20:03:00,20:06:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,20:27:00,20:29:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,21:35:00,21:38:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,21:46:00,21:47:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,22:00:00,22:01:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14157F2917151:2024-06-26T00:35:36Z,22:13:00,22:13:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,18:06:00,18:06:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14157F3063951:2024-06-26T00:35:36Z,19:15:00,19:17:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,19:40:00,19:43:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,19:57:00,20:00:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,20:25:00,20:28:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,20:49:00,20:51:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,21:32:00,21:43:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,21:51:00,21:52:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,22:05:00,22:06:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14157F3063951:2024-06-26T00:35:36Z,22:18:00,22:18:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,18:06:00,18:06:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14157F3064701:2024-06-26T00:35:36Z,19:15:00,19:17:00,StopPoint:OCEINTERCITES-87671123,1,,0,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,19:41:00,19:44:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,19:58:00,20:01:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,20:26:00,20:29:00,StopPoint:OCEINTERCITES-87672006,4,,0,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,20:50:00,20:52:00,StopPoint:OCEINTERCITES-87672253,5,,0,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,21:34:00,21:47:00,StopPoint:OCEINTERCITES-87673004,6,,0,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,21:55:00,21:56:00,StopPoint:OCEINTERCITES-87673400,7,,0,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,22:09:00,22:10:00,StopPoint:OCEINTERCITES-87677120,8,,0,0,
OCESN14157F3064701:2024-06-26T00:35:36Z,22:22:00,22:22:00,StopPoint:OCEINTERCITES-87677005,9,,1,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,09:33:00,09:33:00,StopPoint:OCEINTERCITES-87781005,0,,0,1,
OCESN15940F3163217:2024-06-14T00:38:46Z,09:46:00,09:47:00,StopPoint:OCEINTERCITES-87781666,1,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,10:06:00,10:08:00,StopPoint:OCEINTERCITES-87781609,2,,0,0,
OCESN15940F3163217:2024-06-14T00:38:46Z,10:18:00,10:19:00,StopPoint:OCEINTERCITES-87781583,3,,0,0,
