service_id,date,exception_type
008-6-1210102024-STF#FR,20241015,2
008-6-1210102024-STF#FR,20241022,2
008-6-1310012025-STF#FR,20250109,2
008-6-1310122024-STF#FR,20241203,2
008-6-1310122024-STF#FR,20241204,2
008-6-1310122024-STF#FR,20241210,2
008-6-1310122024-STF#FR,20241211,2
008-6-1310122024-STF#FR,20241217,2
008-7-1635092024-FR#RTL,20240911,2
008-7-1635092024-FR#RTL,20240918,2
008-7-1635092024-FR#RTL,20240925,2
008-7-1635102024-FR#RTL,20241008,2
008-7-1635102024-FR#RTL,20241015,2
008-7-1635102024-FR#RTL,20241022,2
008-7-1735012025-FR#RTL,20250109,2
008-7-1735122024-FR#RTL,20241203,2
008-7-1735122024-FR#RTL,20241204,2
008-7-1735122024-FR#RTL,20241210,2
008-7-1735122024-FR#RTL,20241211,2
008-7-1735122024-FR#RTL,20241217,2
011-1-0545012025-FR#AMD,20250108,2
011-1-0545122024-FR#AMD,20241203,2
011-1-0545122024-FR#AMD,20241204,2
011-1-0545122024-FR#AMD,20241210,2
011-1-0545122024-FR#AMD,20241211,2
011-1-0545122024-FR#AMD,20241217,2
011-11-1525122024-KNZ#SB,20241204,2
011-11-1525122024-KNZ#SB,20241211,2
011-11-1525122024-KNZ#SB,20241218,2
011-12-0745122024-SB#KNZ,20241204,2
011-12-0745122024-SB#KNZ,20241211,2
011-12-0745122024-SB#KNZ,20241218,2
011-2-0600012025-AMD#FR,20250109,2
011-2-0600122024-AMD#FR,20241204,2
011-2-0600122024-AMD#FR,20241205,2
011-2-0600122024-AMD#FR,20241211,2
011-2-0600122024-AMD#FR,20241212,2
011-2-0600122024-AMD#FR,20241218,2
020-2-0810012025-E#PRA,20250108,2
020-2-0810012025-E#PRA,20250109,2
020-2-0810122024-E#PRA,20241204,2
020-2-0810122024-E#PRA,20241205,2
020-2-0810122024-E#PRA,20241211,2
020-2-0810122024-E#PRA,20241212,2
020-2-0810122024-E#PRA,20241218,2
020-2-0810122024-E#PRA,20241219,2
020-35-0740012025-PRA#E,20250108,2
020-35-0740122024-PRA#E,20241203,2
020-35-0740122024-PRA#E,20241204,2
020-35-0740122024-PRA#E,20241210,2
020-35-0740122024-PRA#E,20241211,2
020-35-0740122024-PRA#E,20241217,2
020-35-0740122024-PRA#E,20241218,2
027-11-1045092024-M#E,20240904,2
027-11-1045092024-M#E,20240905,2
027-11-1045092024-M#E,20240911,2
027-11-1045092024-M#E,20240912,2
027-11-1045092024-M#E,20240918,2
027-11-1045092024-M#E,20240919,2
027-11-1045102024-M#E,20241009,2
027-11-1045102024-M#E,20241010,2
027-11-1045102024-M#E,20241016,2
027-11-1045102024-M#E,20241017,2
027-11-1045102024-M#E,20241023,2
027-11-1045102024-M#E,20241024,2
027-11-1145012025-M#E,20250108,2
027-11-1145012025-M#E,20250109,2
027-11-1145012025-M#E,20250111,2
027-11-1145112024-M#E,20241109,2
027-11-1145112024-M#E,20241116,2
027-11-1145112024-M#E,20241123,2
027-11-1145122024-M#E,20241204,2
027-11-1145122024-M#E,20241205,2
027-11-1145122024-M#E,20241207,2
027-11-1145122024-M#E,20241211,2
027-11-1145122024-M#E,20241212,2
027-11-1145122024-M#E,20241218,2
027-11-1145122024-M#E,20241219,2
027-13-0500092024-M#OL,20240902,2
027-13-0500092024-M#OL,20240903,2
027-13-0500092024-M#OL,20240904,2
027-13-0500092024-M#OL,20240909,2
027-13-0500092024-M#OL,20240910,2
027-13-0500092024-M#OL,20240911,2
027-13-0500092024-M#OL,20240916,2
027-13-0500092024-M#OL,20240917,2
027-13-0500092024-M#OL,20240918,2
027-13-0500102024-M#OL,20241008,2
027-13-0500102024-M#OL,20241009,2
027-13-0500102024-M#OL,20241015,2
027-13-0500102024-M#OL,20241016,2
027-13-0500102024-M#OL,20241022,2
027-13-0500102024-M#OL,20241023,2
027-13-0600012025-M#OL,20250108,2
027-13-0600012025-M#OL,20250109,2
027-13-0600122024-M#OL,20241202,2
027-13-0600122024-M#OL,20241203,2
027-13-0600122024-M#OL,20241204,2
027-13-0600122024-M#OL,20241205,2
027-13-0600122024-M#OL,20241209,2
027-13-0600122024-M#OL,20241210,2
027-13-0600122024-M#OL,20241211,2
027-13-0600122024-M#OL,20241216,2
027-13-0600122024-M#OL,20241217,2
027-13-0600122024-M#OL,20241218,2
027-29-1615122024-M#KA,20241203,2
027-29-1615122024-M#KA,20241204,2
027-29-1615122024-M#KA,20241210,2
027-29-1615122024-M#KA,20241217,2
027-29-1615122024-M#KA,20241225,2
027-34-0415092024-E#M,20240902,2
