route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001668,OCESN839857F3096294:2024-06-25T15:37:49Z,839857,1,15755,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001813,OCESN839857F3204041:2024-06-25T15:37:49Z,839857,1,15756,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000076,OCESN839858F2484596:2024-06-25T15:37:49Z,839858,0,15757,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000724,OCESN839858F3093813:2024-06-25T15:37:49Z,839858,0,15758,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001866,OCESN839858F3095735:2024-06-26T00:35:36Z,839858,0,15759,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001057,OCESN839858F3135851:2024-06-25T15:37:49Z,839858,0,15760,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001871,OCESN839859F2484597:2024-06-26T00:35:36Z,839859,1,15761,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000724,OCESN839859F3095736:2024-06-25T15:37:49Z,839859,1,15762,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001057,OCESN839859F3095737:2024-06-25T15:37:49Z,839859,1,15763,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001091,OCESN839860F2484598:2024-06-25T15:37:49Z,839860,0,15764,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000357,OCESN839860F3095742:2024-06-25T15:37:49Z,839860,0,15765,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000066,OCESN839860F3116141:2024-06-25T15:37:49Z,839860,0,15766,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001869,OCESN839860F3135853:2024-06-25T15:37:49Z,839860,0,15767,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000066,OCESN839861F3095744:2024-06-25T15:37:49Z,839861,1,15768,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001872,OCESN839861F3095745:2024-06-25T15:37:49Z,839861,1,15769,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001061,OCESN839861F3116143:2024-06-25T15:37:49Z,839861,1,15770,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001873,OCESN839862F3095746:2024-06-26T00:35:36Z,839862,0,15771,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000724,OCESN839862F3095747:2024-06-25T15:37:49Z,839862,0,15772,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001057,OCESN839862F3095749:2024-06-25T15:37:49Z,839862,0,15773,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001668,OCESN839862F3116145:2024-06-25T15:37:49Z,839862,0,15774,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000607,OCESN839862F3116146:2024-06-25T15:37:49Z,839862,0,15775,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,000341,OCESN839862F3116147:2024-06-25T15:37:49Z,839862,0,15776,
FR:Line::6833bf81-1ed0-4954-a4e7-803f6801897b:,001061,OCESN839862F3135857:2024-06-25T15:37:49Z,839862,0,15777,
